"Airline","Source","Destination","Flight_Duration","Total_Stops","Additional_Info","Day_of_Journey","Month_of_Journey","Year_of_Journey","Price"
"Jet Airways","Banglore","Delhi","175.0","0.0","No info","7229","18","5","2019"
"Jet Airways","Mumbai","Hyderabad","85.0","0.0","In-flight meal not included","4995","18","6","2019"
"Jet Airways","Delhi","Cochin","450.0","1.0","In-flight meal not included","10262","6","6","2019"
"Jet Airways","Delhi","Cochin","1375.0","2.0","In-flight meal not included","13029","5","9","2019"
"Jet Airways","Delhi","Cochin","550.0","1.0","In-flight meal not included","14053","3","9","2019"
"Jet Airways","Banglore","New Delhi","885.0","1.0","1 Long layover","26890","3","1","2019"
"SpiceJet","Kolkata","Banglore","150.0","0.0","No check-in baggage included","3841","4","1","2019"
"Air India","Banglore","New Delhi","745.0","1.0","No info","11003","3","1","2019"
"Vistara","Banglore","Delhi","170.0","0.0","No info","5403","4","9","2019"
"Multiple carriers","Delhi","Cochin","650.0","1.0","No info","15342","3","3","2019"
"Air India","Kolkata","Banglore","1035.0","2.0","No info","12224","6","12","2019"
"IndiGo","Chennai","Kolkata","140.0","0.0","No info","6297","15","3","2019"
"SpiceJet","Kolkata","Banglore","330.0","1.0","No info","8844","5","1","2019"
"Multiple carriers","Delhi","Cochin","690.0","1.0","No info","13377","6","1","2019"
"GoAir","Banglore","New Delhi","175.0","0.0","No info","5706","3","9","2019"
"Air India","Delhi","Cochin","640.0","1.0","No info","8372","6","12","2019"
"IndiGo","Delhi","Cochin","860.0","1.0","No info","6526","27","5","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","4823","6","1","2019"
"IndiGo","Mumbai","Hyderabad","90.0","0.0","No info","3175","24","6","2019"
"Multiple carriers","Delhi","Cochin","600.0","1.0","No info","10407","5","6","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","4423","18","4","2019"
"Vistara","Kolkata","Banglore","1640.0","1.0","No info","9555","5","9","2019"
"Jet Airways","Kolkata","Banglore","1430.0","1.0","No info","12681","4","1","2019"
"Jet Airways","Kolkata","Banglore","875.0","1.0","No info","13059","6","6","2019"
"Jet Airways","Kolkata","Banglore","1055.0","1.0","In-flight meal not included","8586","5","9","2019"
"GoAir","Banglore","Delhi","165.0","0.0","No info","3419","4","6","2019"
"SpiceJet","Kolkata","Banglore","150.0","0.0","No info","3873","6","3","2019"
"Air India","Kolkata","Banglore","625.0","1.0","No info","10203","6","6","2019"
"Jet Airways","Delhi","Cochin","535.0","2.0","In-flight meal not included","13029","27","5","2019"
"Jet Airways","Kolkata","Banglore","365.0","1.0","In-flight meal not included","10844","15","5","2019"
"Jet Airways","Kolkata","Banglore","795.0","1.0","In-flight meal not included","11134","24","3","2019"
"Vistara","Kolkata","Banglore","1350.0","1.0","No info","8610","6","12","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4174","15","4","2019"
"Jet Airways","Banglore","New Delhi","1530.0","1.0","In-flight meal not included","11087","3","9","2019"
"SpiceJet","Banglore","Delhi","175.0","0.0","No info","3971","18","6","2019"
"Jet Airways","Delhi","Cochin","715.0","1.0","No info","17531","4","9","2019"
"SpiceJet","Banglore","Delhi","160.0","0.0","No check-in baggage included","3573","6","6","2019"
"Air India","Kolkata","Banglore","1350.0","1.0","No info","8366","5","1","2019"
"Air India","Kolkata","Banglore","150.0","0.0","No info","13885","3","3","2019"
"Multiple carriers","Delhi","Cochin","460.0","2.0","No info","18485","6","9","2019"
"Air Asia","Kolkata","Banglore","150.0","0.0","No info","4409","27","4","2019"
"Vistara","Kolkata","Banglore","1625.0","1.0","No info","8085","5","1","2019"
"Multiple carriers","Delhi","Cochin","480.0","1.0","No info","13377","6","6","2019"
"Air India","Delhi","Cochin","1100.0","2.0","No info","13538","21","5","2019"
"Multiple carriers","Delhi","Cochin","395.0","1.0","No info","15147","3","6","2019"
"Jet Airways","Banglore","Delhi","175.0","0.0","In-flight meal not included","4030","27","5","2019"
"Multiple carriers","Delhi","Cochin","675.0","1.0","No info","14848","6","6","2019"
"Jet Airways","Banglore","New Delhi","565.0","1.0","No info","13555","18","3","2019"
"Air India","Delhi","Cochin","1580.0","2.0","No info","10975","18","5","2019"
"Jet Airways","Delhi","Cochin","1615.0","2.0","In-flight meal not included","13029","21","5","2019"
"Jet Airways","Kolkata","Banglore","1495.0","1.0","In-flight meal not included","9663","5","12","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","In-flight meal not included","4050","6","1","2019"
"Jet Airways","Delhi","Cochin","655.0","1.0","No info","14714","6","3","2019"
"Air India","Banglore","New Delhi","655.0","2.0","No info","11213","3","1","2019"
"Jet Airways","Banglore","Delhi","165.0","0.0","In-flight meal not included","4544","4","9","2019"
"SpiceJet","Kolkata","Banglore","145.0","0.0","No info","3873","15","6","2019"
"Multiple carriers","Delhi","Cochin","480.0","1.0","No info","12537","4","9","2019"
"Jet Airways","Kolkata","Banglore","575.0","1.0","No info","13067","5","6","2019"
"Jet Airways","Delhi","Cochin","1760.0","2.0","No info","16704","5","9","2019"
"Air India","Banglore","New Delhi","330.0","1.0","No info","8714","15","3","2019"
"Jet Airways","Delhi","Cochin","1320.0","2.0","No info","13376","6","3","2019"
"SpiceJet","Chennai","Kolkata","135.0","0.0","No info","3597","27","6","2019"
"Multiple carriers","Delhi","Cochin","760.0","1.0","No info","7670","18","5","2019"
"Air India","Kolkata","Banglore","2245.0","2.0","No info","14410","24","3","2019"
"Air India","Delhi","Cochin","1420.0","1.0","No info","7480","15","5","2019"
"Jet Airways","Kolkata","Banglore","1335.0","1.0","No info","13584","5","9","2019"
"Jet Airways","Banglore","New Delhi","1050.0","1.0","1 Long layover","25735","3","1","2019"
"Jet Airways","Banglore","Delhi","180.0","0.0","In-flight meal not included","4544","4","1","2019"
"Multiple carriers","Delhi","Cochin","600.0","1.0","No info","8099","21","5","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","In-flight meal not included","10844","15","5","2019"
"Jet Airways","Delhi","Cochin","550.0","1.0","No info","12557","21","3","2019"
"Jet Airways","Delhi","Cochin","195.0","0.0","No info","9564","5","9","2019"
"Jet Airways","Banglore","New Delhi","725.0","1.0","No info","13817","3","12","2019"
"Jet Airways","Kolkata","Banglore","575.0","1.0","In-flight meal not included","12384","18","5","2019"
"Multiple carriers","Delhi","Cochin","860.0","1.0","No info","7575","21","5","2019"
"Air India","Kolkata","Banglore","1155.0","2.0","No info","14120","5","6","2019"
"Multiple carriers","Delhi","Cochin","915.0","1.0","No info","6916","3","9","2019"
"Multiple carriers","Delhi","Cochin","920.0","1.0","No info","7878","27","5","2019"
"Jet Airways","Banglore","New Delhi","1290.0","1.0","In-flight meal not included","11087","18","3","2019"
"IndiGo","Kolkata","Banglore","150.0","0.0","No info","4804","27","4","2019"
"SpiceJet","Chennai","Kolkata","135.0","0.0","No info","3597","15","6","2019"
"Air India","Kolkata","Banglore","2065.0","2.0","No info","12723","15","5","2019"
"IndiGo","Mumbai","Hyderabad","95.0","0.0","No info","2227","15","5","2019"
"Air India","Delhi","Cochin","735.0","1.0","No info","9929","24","5","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","In-flight meal not included","11841","6","9","2019"
"Jet Airways","Delhi","Cochin","1015.0","1.0","In-flight meal not included","12373","5","9","2019"
"Jet Airways","Delhi","Cochin","1325.0","1.0","In-flight meal not included","12898","21","5","2019"
"Air India","Delhi","Cochin","1545.0","2.0","No info","15113","3","3","2019"
"Multiple carriers","Delhi","Cochin","440.0","1.0","No info","10529","18","5","2019"
"Air India","Delhi","Cochin","1115.0","2.0","No info","8875","27","3","2019"
"Jet Airways","Kolkata","Banglore","740.0","1.0","In-flight meal not included","10844","15","5","2019"
"Air India","Banglore","New Delhi","165.0","0.0","No info","15676","3","1","2019"
"Jet Airways","Kolkata","Banglore","910.0","1.0","In-flight meal not included","7064","4","1","2019"
"Jet Airways","Kolkata","Banglore","685.0","1.0","In-flight meal not included","10844","6","9","2019"
"Jet Airways","Mumbai","Hyderabad","1610.0","1.0","No info","19595","3","6","2019"
"Jet Airways","Kolkata","Banglore","1090.0","1.0","No info","13941","5","1","2019"
"IndiGo","Delhi","Cochin","455.0","1.0","No info","6790","21","3","2019"
"SpiceJet","Kolkata","Banglore","145.0","0.0","No check-in baggage included","3841","27","4","2019"
"Jet Airways","Banglore","New Delhi","1280.0","1.0","In-flight meal not included","11087","18","3","2019"
"Air India","Delhi","Cochin","1410.0","2.0","No info","11491","15","5","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","4","9","2019"
"Jet Airways","Banglore","New Delhi","1200.0","1.0","No info","22270","3","1","2019"
"Vistara","Banglore","Delhi","155.0","0.0","No info","4878","6","9","2019"
"Jet Airways","Delhi","Cochin","335.0","1.0","No info","14714","6","9","2019"
"Multiple carriers","Delhi","Cochin","740.0","1.0","No info","10877","24","6","2019"
"Air India","Delhi","Cochin","1410.0","2.0","No info","9653","15","6","2019"
"Jet Airways","Kolkata","Banglore","960.0","1.0","No info","14571","24","5","2019"
"Jet Airways","Kolkata","Banglore","1550.0","1.0","In-flight meal not included","7064","4","1","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","5618","3","6","2019"
"Multiple carriers","Delhi","Cochin","690.0","1.0","No info","13727","15","5","2019"
"Vistara","Delhi","Cochin","190.0","0.0","No info","4851","4","1","2019"
"Air India","Kolkata","Banglore","760.0","2.0","No info","15187","24","3","2019"
"GoAir","Banglore","Delhi","175.0","0.0","No info","3419","15","5","2019"
"IndiGo","Banglore","Delhi","165.0","0.0","No info","3943","4","1","2019"
"Jet Airways","Delhi","Cochin","1615.0","2.0","No info","15129","18","5","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3419","21","6","2019"
"Air India","Delhi","Cochin","1395.0","2.0","No info","10861","21","5","2019"
"IndiGo","Delhi","Cochin","295.0","1.0","No info","7074","21","4","2019"
"Air India","Kolkata","Banglore","1780.0","2.0","No info","11542","5","6","2019"
"IndiGo","Delhi","Cochin","320.0","1.0","No info","6968","21","4","2019"
"Jet Airways","Banglore","Delhi","180.0","0.0","In-flight meal not included","5769","6","12","2019"
"Vistara","Kolkata","Banglore","1580.0","1.0","No info","7927","6","12","2019"
"Jet Airways","Kolkata","Banglore","800.0","1.0","No info","13044","6","12","2019"
"Jet Airways","Delhi","Cochin","810.0","2.0","No info","15129","21","5","2019"
"SpiceJet","Kolkata","Banglore","145.0","0.0","No check-in baggage included","3841","5","1","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4804","24","6","2019"
"SpiceJet","Banglore","Delhi","160.0","0.0","No check-in baggage included","4319","4","12","2019"
"Jet Airways","Delhi","Cochin","1270.0","1.0","No info","16079","27","5","2019"
"Jet Airways","Banglore","New Delhi","375.0","1.0","No info","54826","18","3","2019"
"IndiGo","Delhi","Cochin","485.0","1.0","No info","12351","3","9","2019"
"Jet Airways","Kolkata","Banglore","1570.0","1.0","No info","13067","5","6","2019"
"Jet Airways","Banglore","New Delhi","765.0","1.0","No info","13817","3","12","2019"
"SpiceJet","Banglore","Delhi","175.0","0.0","No info","3625","21","5","2019"
"Air India","Mumbai","Hyderabad","1775.0","3.0","No info","18293","3","12","2019"
"Vistara","Banglore","Delhi","165.0","0.0","No info","5613","4","1","2019"
"Air India","Delhi","Cochin","1565.0","1.0","No info","11038","3","6","2019"
"IndiGo","Banglore","Delhi","165.0","0.0","No info","4077","4","3","2019"
"Multiple carriers","Delhi","Cochin","780.0","1.0","No info","6883","27","3","2019"
"Air India","Banglore","New Delhi","165.0","0.0","No info","19508","3","3","2019"
"Air India","Banglore","New Delhi","865.0","1.0","No info","8714","15","3","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4804","5","1","2019"
"Multiple carriers","Delhi","Cochin","450.0","1.0","No info","15078","3","3","2019"
"SpiceJet","Kolkata","Banglore","150.0","0.0","No check-in baggage included","4807","21","4","2019"
"Multiple carriers","Delhi","Cochin","565.0","3.0","No info","21829","3","6","2019"
"Vistara","Banglore","New Delhi","160.0","0.0","No info","5403","24","3","2019"
"Jet Airways","Banglore","New Delhi","550.0","1.0","No info","26890","3","1","2019"
"GoAir","Kolkata","Banglore","495.0","1.0","No info","7335","18","5","2019"
"Jet Airways","Delhi","Cochin","650.0","2.0","In-flight meal not included","9412","27","3","2019"
"Jet Airways","Kolkata","Banglore","685.0","1.0","In-flight meal not included","10844","21","5","2019"
"IndiGo","Banglore","Delhi","175.0","0.0","No info","4990","6","6","2019"
"Jet Airways","Delhi","Cochin","1760.0","2.0","No info","16704","27","5","2019"
"Air India","Delhi","Cochin","2240.0","2.0","No info","7711","4","9","2019"
"Jet Airways","Delhi","Cochin","655.0","1.0","In-flight meal not included","10262","6","3","2019"
"Multiple carriers","Delhi","Cochin","490.0","1.0","In-flight meal not included","6007","24","6","2019"
"Air India","Kolkata","Banglore","1200.0","2.0","No info","12219","4","1","2019"
"GoAir","Banglore","Delhi","165.0","0.0","No info","3898","5","1","2019"
"Jet Airways","Kolkata","Banglore","1745.0","1.0","No info","11467","5","6","2019"
"Air India","Kolkata","Banglore","725.0","2.0","No info","12534","18","5","2019"
"Jet Airways","Kolkata","Banglore","590.0","1.0","In-flight meal not included","10844","6","6","2019"
"SpiceJet","Banglore","New Delhi","170.0","0.0","No info","4377","24","3","2019"
"Vistara","Chennai","Kolkata","140.0","0.0","No info","11982","6","9","2019"
"SpiceJet","Banglore","Delhi","170.0","0.0","No info","4423","6","9","2019"
"Jet Airways","Delhi","Cochin","550.0","1.0","No info","17234","3","3","2019"
"Vistara","Kolkata","Banglore","945.0","1.0","No info","8295","4","1","2019"
"Jet Airways","Delhi","Cochin","2295.0","2.0","In-flight meal not included","15864","3","6","2019"
"GoAir","Banglore","Delhi","170.0","0.0","No info","3398","27","5","2019"
"Multiple carriers","Delhi","Cochin","750.0","1.0","No info","7198","6","9","2019"
"Jet Airways","Banglore","Delhi","165.0","0.0","No info","7229","4","6","2019"
"Jet Airways","Delhi","Cochin","1375.0","2.0","No info","13014","6","12","2019"
"Air India","Kolkata","Banglore","1440.0","1.0","No info","6528","5","9","2019"
"Jet Airways","Delhi","Cochin","1620.0","2.0","No info","13292","6","12","2019"
"Jet Airways","Delhi","Cochin","1430.0","2.0","No info","15129","21","5","2019"
"Air India","Delhi","Cochin","1395.0","2.0","No info","11071","15","6","2019"
"SpiceJet","Kolkata","Banglore","155.0","0.0","No info","4174","21","4","2019"
"Multiple carriers","Delhi","Cochin","890.0","1.0","No info","11299","27","3","2019"
"Jet Airways","Delhi","Cochin","1010.0","1.0","In-flight meal not included","12373","18","5","2019"
"Air India","Banglore","New Delhi","1645.0","1.0","No info","13439","3","1","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4804","5","1","2019"
"Air India","Kolkata","Banglore","1210.0","2.0","No info","11642","5","12","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3419","18","6","2019"
"IndiGo","Kolkata","Banglore","335.0","2.0","No info","6103","21","5","2019"
"Air India","Kolkata","Banglore","1100.0","2.0","No info","13033","5","9","2019"
"Jet Airways","Banglore","New Delhi","420.0","2.0","In-flight meal not included","11245","18","3","2019"
"Jet Airways","Kolkata","Banglore","330.0","1.0","In-flight meal not included","10056","4","1","2019"
"Jet Airways","Kolkata","Banglore","1080.0","1.0","In-flight meal not included","10539","6","6","2019"
"IndiGo","Chennai","Kolkata","140.0","0.0","No info","5277","18","3","2019"
"Air India","Kolkata","Banglore","795.0","1.0","No info","11936","21","5","2019"
"Jet Airways","Delhi","Cochin","1375.0","2.0","No info","13014","6","9","2019"
"Vistara","Kolkata","Banglore","1640.0","1.0","No info","8820","6","6","2019"
"Jet Airways","Delhi","Cochin","1295.0","1.0","In-flight meal not included","12373","5","9","2019"
"Jet Airways","Delhi","Cochin","1655.0","1.0","In-flight meal not included","10262","6","1","2019"
"Jet Airways","Mumbai","Hyderabad","85.0","0.0","In-flight meal not included","4995","6","3","2019"
"Jet Airways","Delhi","Cochin","1315.0","1.0","In-flight meal not included","7438","27","3","2019"
"IndiGo","Kolkata","Banglore","170.0","0.0","No info","4148","21","3","2019"
"IndiGo","Chennai","Kolkata","140.0","0.0","No info","3597","27","5","2019"
"Air Asia","Kolkata","Banglore","955.0","1.0","No info","5192","5","1","2019"
"Jet Airways","Banglore","New Delhi","740.0","1.0","No info","16736","3","6","2019"
"Multiple carriers","Delhi","Cochin","480.0","1.0","No info","7933","6","1","2019"
"Air India","Delhi","Cochin","675.0","1.0","No info","8879","18","5","2019"
"IndiGo","Delhi","Cochin","195.0","0.0","No info","5000","5","12","2019"
"Vistara","Kolkata","Banglore","965.0","1.0","No info","8137","5","6","2019"
"Air India","Delhi","Cochin","1580.0","2.0","No info","22096","3","9","2019"
"SpiceJet","Banglore","New Delhi","170.0","0.0","No check-in baggage included","4273","24","3","2019"
"Jet Airways","Banglore","New Delhi","365.0","1.0","No info","35185","3","1","2019"
"IndiGo","Kolkata","Banglore","220.0","1.0","No info","4226","15","4","2019"
"Jet Airways","Kolkata","Banglore","475.0","1.0","In-flight meal not included","10844","5","1","2019"
"IndiGo","Mumbai","Hyderabad","90.0","0.0","No info","2754","6","12","2019"
"IndiGo","Kolkata","Banglore","335.0","1.0","No info","6301","6","6","2019"
"Air India","Kolkata","Banglore","1700.0","2.0","No info","13222","18","5","2019"
"Jet Airways","Delhi","Cochin","1145.0","1.0","In-flight meal not included","12898","21","5","2019"
"Air India","Banglore","New Delhi","830.0","1.0","No info","12127","3","12","2019"
"Jet Airways","Kolkata","Banglore","1540.0","1.0","No info","13067","21","5","2019"
"Air India","Kolkata","Banglore","1660.0","2.0","No info","9920","4","1","2019"
"GoAir","Banglore","Delhi","175.0","0.0","No info","4239","4","1","2019"
"Jet Airways","Delhi","Cochin","1270.0","1.0","No info","14714","6","6","2019"
"IndiGo","Kolkata","Banglore","325.0","1.0","No info","6218","5","6","2019"
"IndiGo","Chennai","Kolkata","140.0","0.0","No info","7295","3","1","2019"
"Multiple carriers","Delhi","Cochin","460.0","1.0","No info","7408","6","9","2019"
"Jet Airways","Kolkata","Banglore","505.0","1.0","In-flight meal not included","13994","6","9","2019"
"IndiGo","Kolkata","Banglore","150.0","0.0","No info","5224","15","5","2019"
"SpiceJet","Mumbai","Hyderabad","80.0","0.0","No info","4391","3","9","2019"
"Air India","Kolkata","Banglore","1165.0","2.0","No info","14109","18","5","2019"
"SpiceJet","Banglore","Delhi","170.0","0.0","No check-in baggage included","4885","27","4","2019"
"Jet Airways","Banglore","Delhi","180.0","0.0","No info","8016","6","1","2019"
"Multiple carriers","Delhi","Cochin","395.0","1.0","No info","12524","24","6","2019"
"Jet Airways","Delhi","Cochin","995.0","1.0","In-flight meal not included","6017","27","3","2019"
"Air India","Delhi","Cochin","1275.0","2.0","No info","10441","5","9","2019"
"SpiceJet","Banglore","Delhi","175.0","0.0","No info","3625","4","1","2019"
"Air India","Delhi","Cochin","2280.0","3.0","No info","15586","3","9","2019"
"Air India","Delhi","Cochin","675.0","1.0","No info","7199","27","3","2019"
"Jet Airways","Delhi","Cochin","1325.0","2.0","No info","12273","21","3","2019"
"Multiple carriers","Delhi","Cochin","390.0","1.0","No info","7530","6","6","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","No info","5678","21","5","2019"
"Air India","Delhi","Cochin","1245.0","2.0","No info","11753","24","6","2019"
"SpiceJet","Mumbai","Hyderabad","90.0","0.0","No check-in baggage included","1965","21","5","2019"
"IndiGo","Delhi","Cochin","400.0","1.0","No info","10208","21","3","2019"
"IndiGo","Delhi","Cochin","305.0","1.0","No info","5054","21","5","2019"
"IndiGo","Delhi","Cochin","425.0","1.0","No info","14871","3","3","2019"
"Jet Airways","Delhi","Cochin","715.0","1.0","In-flight meal not included","12373","18","5","2019"
"SpiceJet","Mumbai","Hyderabad","90.0","0.0","No info","2017","15","6","2019"
"Jet Airways","Kolkata","Banglore","890.0","1.0","In-flight meal not included","10661","24","3","2019"
"Multiple carriers","Delhi","Cochin","520.0","1.0","No info","9794","5","9","2019"
"Jet Airways","Kolkata","Banglore","1630.0","1.0","No info","13067","5","9","2019"
"SpiceJet","Chennai","Kolkata","140.0","0.0","No info","7298","3","3","2019"
"IndiGo","Banglore","New Delhi","175.0","0.0","No info","7648","3","3","2019"
"Air India","Kolkata","Banglore","590.0","2.0","No info","10676","5","12","2019"
"Air India","Banglore","Delhi","165.0","0.0","No info","6961","6","3","2019"
"IndiGo","Delhi","Cochin","845.0","1.0","No info","6979","15","5","2019"
"Multiple carriers","Delhi","Cochin","720.0","1.0","No info","13587","27","5","2019"
"Jet Airways","Kolkata","Banglore","570.0","1.0","In-flight meal not included","10844","24","5","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","5","12","2019"
"IndiGo","Delhi","Cochin","705.0","1.0","No info","6838","6","12","2019"
"Jet Airways","Delhi","Cochin","360.0","1.0","In-flight meal not included","6542","15","4","2019"
"Jet Airways","Delhi","Cochin","715.0","1.0","In-flight meal not included","12239","21","5","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","No info","14388","5","12","2019"
"IndiGo","Kolkata","Banglore","170.0","0.0","No info","4148","3","12","2019"
"Multiple carriers","Delhi","Cochin","625.0","2.0","No info","16840","18","5","2019"
"Multiple carriers","Delhi","Cochin","765.0","1.0","No info","9646","6","3","2019"
"Jet Airways","Kolkata","Banglore","1265.0","1.0","No info","14571","6","9","2019"
"IndiGo","Delhi","Cochin","570.0","1.0","No info","7923","15","5","2019"
"Jet Airways","Kolkata","Banglore","520.0","1.0","In-flight meal not included","8586","5","12","2019"
"Multiple carriers","Delhi","Cochin","555.0","1.0","No info","9646","6","3","2019"
"Jet Airways","Kolkata","Banglore","1315.0","1.0","No info","14388","18","5","2019"
"Jet Airways","Kolkata","Banglore","1430.0","1.0","No info","13044","6","12","2019"
"Multiple carriers","Delhi","Cochin","540.0","1.0","No info","10197","21","5","2019"
"Jet Airways","Delhi","Cochin","1395.0","1.0","No info","14714","6","1","2019"
"Air India","Delhi","Cochin","555.0","1.0","No info","9929","6","1","2019"
"Jet Airways","Delhi","Cochin","335.0","1.0","In-flight meal not included","6017","21","3","2019"
"SpiceJet","Chennai","Kolkata","135.0","0.0","No info","3597","27","6","2019"
"Air India","Delhi","Cochin","570.0","1.0","No info","5704","21","3","2019"
"Jet Airways","Delhi","Cochin","520.0","1.0","No info","14714","6","3","2019"
"Air India","Banglore","Delhi","165.0","0.0","No info","5228","5","12","2019"
"Jet Airways","Kolkata","Banglore","1520.0","1.0","No info","11467","4","1","2019"
"Vistara","Banglore","Delhi","170.0","0.0","No info","4668","6","6","2019"
"IndiGo","Banglore","Delhi","180.0","0.0","No info","4591","18","4","2019"
"IndiGo","Banglore","Delhi","180.0","0.0","No info","3943","5","12","2019"
"Air India","Banglore","Delhi","165.0","0.0","No info","5228","21","4","2019"
"Jet Airways","Delhi","Cochin","995.0","1.0","No info","12242","27","3","2019"
"Air India","Delhi","Cochin","1580.0","2.0","No info","11185","6","9","2019"
"IndiGo","Delhi","Cochin","975.0","1.0","No info","6573","4","9","2019"
"Jet Airways","Kolkata","Banglore","365.0","1.0","No info","14781","15","5","2019"
"Air India","Kolkata","Banglore","970.0","2.0","No info","14960","6","12","2019"
"IndiGo","Chennai","Kolkata","145.0","0.0","No info","4332","15","5","2019"
"Air Asia","Banglore","New Delhi","170.0","0.0","No info","7652","3","3","2019"
"Jet Airways","Kolkata","Banglore","690.0","1.0","No info","14151","24","5","2019"
"SpiceJet","Banglore","Delhi","170.0","0.0","No check-in baggage included","4319","6","12","2019"
"Jet Airways","Delhi","Cochin","1420.0","2.0","No info","10929","21","3","2019"
"Air India","Kolkata","Banglore","1620.0","2.0","No info","11491","24","3","2019"
"IndiGo","Delhi","Cochin","195.0","0.0","No info","6015","18","4","2019"
"Jet Airways","Kolkata","Banglore","690.0","1.0","No info","12692","6","12","2019"
"Air Asia","Kolkata","Banglore","150.0","0.0","No info","4384","3","9","2019"
"IndiGo","Banglore","Delhi","165.0","0.0","No info","3943","6","3","2019"
"Jet Airways","Delhi","Cochin","600.0","1.0","In-flight meal not included","12373","18","5","2019"
"Jet Airways","Banglore","New Delhi","315.0","1.0","No info","19225","3","6","2019"
"Jet Airways","Delhi","Cochin","1385.0","1.0","In-flight meal not included","14053","3","9","2019"
"Air India","Banglore","Delhi","170.0","0.0","No info","5911","4","12","2019"
"Multiple carriers","Delhi","Cochin","740.0","1.0","No info","10877","6","9","2019"
"Jet Airways","Kolkata","Banglore","585.0","1.0","In-flight meal not included","7757","6","6","2019"
"IndiGo","Delhi","Cochin","515.0","1.0","No info","6558","21","3","2019"
"IndiGo","Kolkata","Banglore","165.0","0.0","No info","4804","21","4","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","No info","5678","18","3","2019"
"Jet Airways","Delhi","Cochin","1105.0","1.0","In-flight meal not included","12373","5","9","2019"
"Jet Airways","Banglore","Delhi","165.0","0.0","In-flight meal not included","5198","5","6","2019"
"IndiGo","Kolkata","Banglore","150.0","0.0","No info","6064","6","1","2019"
"Jet Airways","Delhi","Cochin","395.0","1.0","No info","15029","3","9","2019"
"Jet Airways","Delhi","Cochin","810.0","2.0","No info","10909","4","9","2019"
"Multiple carriers","Delhi","Cochin","665.0","1.0","No info","18492","3","9","2019"
"Jet Airways","Delhi","Cochin","1570.0","1.0","In-flight meal not included","10262","24","6","2019"
"Jet Airways","Kolkata","Banglore","345.0","1.0","No info","8781","18","5","2019"
"IndiGo","Delhi","Cochin","455.0","1.0","No info","6442","27","5","2019"
"Jet Airways","Mumbai","Hyderabad","405.0","1.0","No info","20120","3","12","2019"
"Vistara","Banglore","Delhi","165.0","0.0","No info","4878","27","5","2019"
"Jet Airways","Banglore","New Delhi","760.0","1.0","No info","16736","3","6","2019"
"SpiceJet","Kolkata","Banglore","435.0","1.0","No info","9630","24","5","2019"
"Vistara","Kolkata","Banglore","700.0","1.0","No info","8610","5","9","2019"
"Vistara","Chennai","Kolkata","135.0","0.0","No info","3687","27","6","2019"
"Vistara","Kolkata","Banglore","765.0","1.0","No info","8452","15","5","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","18","5","2019"
"IndiGo","Mumbai","Hyderabad","85.0","0.0","No info","3342","15","3","2019"
"Jet Airways","Kolkata","Banglore","1080.0","1.0","No info","13067","5","12","2019"
"Vistara","Banglore","Delhi","165.0","0.0","No info","4878","5","6","2019"
"Jet Airways","Kolkata","Banglore","775.0","1.0","No info","14388","5","9","2019"
"Jet Airways","Delhi","Cochin","900.0","2.0","No info","16704","27","5","2019"
"Air India","Mumbai","Hyderabad","75.0","0.0","No info","3100","21","5","2019"
"Air India","Banglore","New Delhi","1480.0","3.0","No info","13387","3","12","2019"
"IndiGo","Mumbai","Hyderabad","90.0","0.0","No info","4049","6","9","2019"
"Jet Airways","Delhi","Cochin","810.0","2.0","In-flight meal not included","13029","18","5","2019"
"SpiceJet","Banglore","Delhi","175.0","0.0","No check-in baggage included","3919","4","9","2019"
"IndiGo","Chennai","Kolkata","145.0","0.0","No info","3850","5","3","2019"
"Air India","Delhi","Cochin","1210.0","2.0","No info","8839","24","6","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","In-flight meal not included","7064","4","1","2019"
"Jet Airways","Kolkata","Banglore","735.0","1.0","No info","13941","5","12","2019"
"Air India","Kolkata","Banglore","1470.0","3.0","No info","13007","24","5","2019"
"Jet Airways","Kolkata","Banglore","510.0","1.0","No info","14781","18","5","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","In-flight meal not included","2071","18","3","2019"
"Jet Airways","Delhi","Cochin","195.0","0.0","In-flight meal not included","4256","21","6","2019"
