,Airline,Source,Destination,Flight_Duration,Total_Stops,Additional_Info,Price,Day_of_Journey,Month_of_Journey,Year_of_Journey
2091,Air India,Delhi,Cochin,170,0.0,No info,6094,27,4,2019
2092,Jet Airways,Delhi,Cochin,810,2.0,No info,13292,24,6,2019
2093,Jet Airways,Delhi,Cochin,1375,2.0,In-flight meal not included,10368,6,9,2019
2094,Multiple carriers,Delhi,Cochin,660,1.0,No info,9718,27,5,2019
2095,Jet Airways,Banglore,New Delhi,1365,1.0,In-flight meal not included,7412,21,3,2019
2096,Air India,Delhi,Cochin,1275,2.0,No info,10441,6,6,2019
2097,IndiGo,Delhi,Cochin,890,1.0,No info,14871,3,3,2019
2098,Jet Airways,Delhi,Cochin,660,1.0,No info,15554,18,5,2019
2099,Jet Airways,Banglore,New Delhi,305,1.0,No info,36235,3,1,2019
2100,IndiGo,Mumbai,Hyderabad,90,0.0,No info,3175,24,3,2019
2101,SpiceJet,Chennai,Kolkata,140,0.0,No info,3597,24,5,2019
2102,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,1965,27,6,2019
2103,Multiple carriers,Delhi,Cochin,540,1.0,No info,12717,24,6,2019
2104,IndiGo,Delhi,Cochin,195,0.0,No info,6015,6,3,2019
2105,Air Asia,Banglore,New Delhi,165,0.0,No info,5615,3,9,2019
2106,Multiple carriers,Delhi,Cochin,395,1.0,No info,7845,27,3,2019
2107,Jet Airways,Kolkata,Banglore,1525,1.0,In-flight meal not included,10844,6,9,2019
2108,Jet Airways,Banglore,New Delhi,460,1.0,No info,27210,15,3,2019
2109,IndiGo,Kolkata,Banglore,150,0.0,No info,4174,4,6,2019
2110,Multiple carriers,Delhi,Cochin,780,1.0,No info,6883,21,3,2019
2111,Multiple carriers,Delhi,Cochin,720,1.0,No info,6883,21,3,2019
2112,Jet Airways,Kolkata,Banglore,435,1.0,No info,8355,21,5,2019
2113,SpiceJet,Banglore,New Delhi,170,0.0,No check-in baggage included,5469,24,3,2019
2114,Jet Airways,Banglore,Delhi,165,0.0,In-flight meal not included,6478,27,6,2019
2115,Vistara,Banglore,New Delhi,160,0.0,No info,11913,3,3,2019
2116,IndiGo,Delhi,Cochin,415,1.0,No info,7006,21,5,2019
2117,Jet Airways,Kolkata,Banglore,365,1.0,No info,12681,4,1,2019
2118,Jet Airways,Delhi,Cochin,1195,2.0,No info,15129,21,5,2019
2119,Multiple carriers,Delhi,Cochin,420,1.0,No info,13587,15,6,2019
2120,Jet Airways,Delhi,Cochin,1425,1.0,No info,14714,6,1,2019
2121,IndiGo,Banglore,New Delhi,290,1.0,No info,6220,3,3,2019
2122,Jet Airways,Delhi,Cochin,330,1.0,In-flight meal not included,10262,6,6,2019
2123,Air India,Kolkata,Banglore,545,1.0,No info,8576,5,12,2019
2124,Jet Airways,Kolkata,Banglore,1495,1.0,In-flight meal not included,10031,24,3,2019
2125,Jet Airways,Delhi,Cochin,1430,2.0,No info,12819,24,6,2019
2126,GoAir,Delhi,Cochin,370,1.0,No info,5052,15,4,2019
2127,Jet Airways,Banglore,New Delhi,1455,1.0,No info,22270,3,1,2019
2128,Vistara,Banglore,Delhi,160,0.0,No info,5613,27,4,2019
2129,SpiceJet,Kolkata,Banglore,145,0.0,No info,3873,4,1,2019
2130,IndiGo,Delhi,Cochin,195,0.0,No info,6015,15,5,2019
2131,Jet Airways,Kolkata,Banglore,330,1.0,In-flight meal not included,10844,6,9,2019
2132,SpiceJet,Mumbai,Hyderabad,90,0.0,No info,2227,5,12,2019
2133,Jet Airways,Banglore,Delhi,180,0.0,No info,7229,4,1,2019
2134,Jet Airways,Delhi,Cochin,810,2.0,In-flight meal not included,10368,6,6,2019
2135,Jet Airways,Delhi,Cochin,655,1.0,In-flight meal not included,12898,21,5,2019
2136,Multiple carriers,Delhi,Cochin,720,1.0,No info,12192,6,12,2019
2137,Jet Airways,Kolkata,Banglore,840,1.0,No info,12121,5,9,2019
2138,Air India,Delhi,Cochin,1490,2.0,No info,16163,27,5,2019
2139,Jet Airways,Banglore,New Delhi,760,1.0,No info,12284,18,3,2019
2140,IndiGo,Banglore,Delhi,165,0.0,No info,5780,21,6,2019
2141,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,4995,5,9,2019
2142,IndiGo,Delhi,Cochin,295,1.0,No info,6496,6,9,2019
2143,Air India,Delhi,Cochin,1855,2.0,No info,12488,6,12,2019
2144,IndiGo,Banglore,Delhi,175,0.0,No info,4823,15,5,2019
2145,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,2647,18,6,2019
2146,IndiGo,Banglore,New Delhi,170,0.0,No info,12649,3,3,2019
2147,Multiple carriers,Delhi,Cochin,455,1.0,No info,8266,6,12,2019
2148,Vistara,Delhi,Cochin,190,0.0,No info,6216,15,5,2019
2149,IndiGo,Banglore,Delhi,165,0.0,No info,4423,4,1,2019
2150,Jet Airways,Banglore,New Delhi,1455,1.0,No info,17996,3,6,2019
2151,SpiceJet,Delhi,Cochin,270,1.0,No check-in baggage included,5726,15,4,2019
2152,Multiple carriers,Delhi,Cochin,570,1.0,No info,15147,3,6,2019
2153,Jet Airways,Delhi,Cochin,1325,1.0,No info,15554,18,5,2019
2154,Jet Airways,Delhi,Cochin,1760,2.0,No info,12819,24,6,2019
2155,Multiple carriers,Delhi,Cochin,450,1.0,No info,7198,27,6,2019
2156,IndiGo,Delhi,Cochin,300,1.0,No info,5073,4,3,2019
2157,IndiGo,Banglore,Delhi,180,0.0,No info,3943,27,6,2019
2158,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,3205,27,3,2019
2159,SpiceJet,Banglore,Delhi,160,0.0,No check-in baggage included,3257,5,12,2019
2160,IndiGo,Kolkata,Banglore,155,0.0,No info,4804,6,3,2019
2161,IndiGo,Banglore,New Delhi,285,1.0,No info,10231,3,9,2019
2162,Jet Airways,Delhi,Cochin,450,1.0,In-flight meal not included,12898,21,5,2019
2163,IndiGo,Mumbai,Hyderabad,85,0.0,No info,2227,21,3,2019
2164,Air India,Kolkata,Banglore,1390,2.0,No info,9258,4,1,2019
2165,Jet Airways,Kolkata,Banglore,1010,1.0,In-flight meal not included,9663,24,5,2019
2166,Jet Airways,Mumbai,Hyderabad,85,0.0,No info,8040,21,5,2019
2167,GoAir,Banglore,Delhi,165,0.0,No info,3419,6,6,2019
2168,Jet Airways,Banglore,Delhi,180,0.0,No info,8016,6,1,2019
2169,Jet Airways,Banglore,Delhi,180,0.0,No info,7229,4,6,2019
2170,GoAir,Delhi,Cochin,540,1.0,No info,4959,6,6,2019
2171,Air India,Kolkata,Banglore,1390,2.0,No info,10151,6,9,2019
2172,Air India,Delhi,Cochin,2280,3.0,No info,10703,18,5,2019
2173,Jet Airways,Kolkata,Banglore,590,1.0,In-flight meal not included,10844,6,9,2019
2174,IndiGo,Delhi,Cochin,370,1.0,No info,7205,3,6,2019
2175,Jet Airways,Banglore,New Delhi,570,1.0,No info,12284,18,3,2019
2176,Jet Airways,Kolkata,Banglore,750,1.0,In-flight meal not included,13994,6,9,2019
2177,IndiGo,Delhi,Cochin,195,0.0,No info,6015,15,4,2019
2178,IndiGo,Kolkata,Banglore,255,1.0,No info,4226,4,3,2019
2179,Jet Airways,Delhi,Cochin,1420,2.0,No info,9483,21,3,2019
2180,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,5198,15,5,2019
2181,Jet Airways,Delhi,Cochin,810,2.0,In-flight meal not included,10368,27,6,2019
2182,Vistara,Chennai,Kolkata,140,0.0,No info,11982,6,3,2019
2183,Air India,Banglore,New Delhi,1510,1.0,No info,8032,15,3,2019
2184,Air India,Kolkata,Banglore,150,0.0,No info,5510,15,5,2019
2185,IndiGo,Delhi,Cochin,305,1.0,No info,8177,5,9,2019
2186,Air Asia,Delhi,Cochin,340,1.0,No info,11410,6,1,2019
2187,GoAir,Delhi,Cochin,350,1.0,No info,9385,21,3,2019
2188,Jet Airways,Delhi,Cochin,540,1.0,In-flight meal not included,10262,6,6,2019
2189,SpiceJet,Kolkata,Banglore,145,0.0,No info,3873,18,6,2019
2190,Multiple carriers,Delhi,Cochin,430,1.0,No info,11999,21,3,2019
2191,Jet Airways,Delhi,Cochin,1095,2.0,No info,14300,27,6,2019
2192,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,2175,5,12,2019
2193,Air India,Delhi,Cochin,1490,2.0,No info,14431,5,9,2019
2194,Jet Airways,Banglore,Delhi,165,0.0,No info,7229,21,5,2019
2195,IndiGo,Kolkata,Banglore,265,1.0,No info,3809,24,5,2019
2196,Multiple carriers,Delhi,Cochin,705,1.0,No info,7354,24,6,2019
2197,Multiple carriers,Delhi,Cochin,450,1.0,No info,12537,27,3,2019
2198,Air India,Delhi,Cochin,375,1.0,No info,9719,27,5,2019
2199,Jet Airways,Mumbai,Hyderabad,90,0.0,No info,8040,24,5,2019
2200,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,4995,24,5,2019
2201,IndiGo,Banglore,Delhi,170,0.0,No info,4591,4,6,2019
2202,Air India,Kolkata,Banglore,1700,1.0,No info,7662,6,6,2019
2203,IndiGo,Chennai,Kolkata,140,0.0,No info,3850,24,6,2019
2204,IndiGo,Delhi,Cochin,835,1.0,No info,6442,6,3,2019
2205,IndiGo,Delhi,Cochin,305,1.0,No info,11378,6,3,2019
2206,Multiple carriers,Delhi,Cochin,630,1.0,No info,13377,27,6,2019
2207,Jet Airways,Kolkata,Banglore,740,1.0,In-flight meal not included,10844,21,5,2019
2208,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,4995,5,9,2019
2209,Air India,Delhi,Cochin,970,2.0,No info,6057,27,3,2019
2210,Air India,Banglore,Delhi,165,0.0,No info,5176,4,6,2019
2211,Jet Airways,Delhi,Cochin,1125,2.0,No info,13014,6,9,2019
2212,IndiGo,Banglore,New Delhi,260,1.0,No Info,7917,3,1,2019
2213,SpiceJet,Delhi,Cochin,315,1.0,No info,5583,6,9,2019
2214,Jet Airways,Banglore,Delhi,165,0.0,No info,7229,4,9,2019
2215,IndiGo,Delhi,Cochin,570,1.0,No info,7191,18,5,2019
2216,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,3210,6,12,2019
2217,IndiGo,Delhi,Cochin,635,1.0,No info,14871,3,6,2019
2218,Multiple carriers,Delhi,Cochin,645,1.0,No info,8099,15,5,2019
2219,Air India,Kolkata,Banglore,545,1.0,No info,8366,21,5,2019
2220,IndiGo,Chennai,Kolkata,140,0.0,No info,6297,3,9,2019
2221,Multiple carriers,Delhi,Cochin,480,1.0,No info,18286,3,3,2019
2222,Jet Airways,Delhi,Cochin,1240,1.0,No info,17024,3,6,2019
2223,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,6144,24,4,2019
2224,Multiple carriers,Delhi,Cochin,825,1.0,No info,13941,3,9,2019
2225,Jet Airways,Banglore,Delhi,185,0.0,In-flight meal not included,3702,5,9,2019
2226,SpiceJet,Delhi,Cochin,315,1.0,No info,5583,15,5,2019
2227,Air India,Mumbai,Hyderabad,810,1.0,No info,10208,3,12,2019
2228,Jet Airways,Kolkata,Banglore,505,1.0,In-flight meal not included,12384,5,6,2019
2229,Air India,Kolkata,Banglore,1165,2.0,No info,17049,5,6,2019
2230,IndiGo,Delhi,Cochin,810,1.0,No info,7006,24,5,2019
2231,Air India,Kolkata,Banglore,875,2.0,No info,12723,6,12,2019
2232,Jet Airways,Delhi,Cochin,1225,1.0,In-flight meal not included,10577,6,12,2019
2233,Jet Airways,Banglore,New Delhi,730,1.0,No info,16736,3,6,2019
2234,Jet Airways,Delhi,Cochin,925,1.0,In-flight meal not included,10262,24,6,2019
2235,Multiple carriers,Delhi,Cochin,470,1.0,No info,7155,24,6,2019
2236,Multiple carriers,Delhi,Cochin,915,1.0,No info,15147,3,3,2019
2237,IndiGo,Banglore,Delhi,175,0.0,No info,4823,6,12,2019
2238,Air India,Banglore,New Delhi,410,1.0,No info,8714,15,3,2019
2239,Jet Airways,Kolkata,Banglore,1450,1.0,No info,10953,5,6,2019
2240,Air India,Kolkata,Banglore,1435,1.0,No info,10203,6,12,2019
2241,Jet Airways,Delhi,Cochin,1415,1.0,In-flight meal not included,12373,18,5,2019
2242,Jet Airways,Kolkata,Banglore,840,1.0,No info,14151,5,12,2019
2243,Jet Airways,Kolkata,Banglore,1730,1.0,No info,12121,24,5,2019
2244,Vistara,Delhi,Cochin,190,0.0,No info,5586,4,9,2019
2245,Jet Airways,Kolkata,Banglore,1655,1.0,In-flight meal not included,10844,18,5,2019
2246,Jet Airways,Kolkata,Banglore,450,1.0,In-flight meal not included,8586,21,5,2019
2247,SpiceJet,Delhi,Cochin,295,1.0,No info,5409,6,6,2019
2248,Multiple carriers,Delhi,Cochin,695,2.0,No info,7178,21,3,2019
2249,Multiple carriers,Delhi,Cochin,910,1.0,In-flight meal not included,5797,24,6,2019
2250,Jet Airways,Kolkata,Banglore,1435,1.0,No info,13759,24,3,2019
2251,Air India,Kolkata,Banglore,1100,2.0,No info,13873,24,5,2019
2252,Jet Airways,Delhi,Cochin,1325,1.0,No info,16079,21,5,2019
2253,SpiceJet,Mumbai,Hyderabad,90,0.0,No info,2017,27,6,2019
2254,Jet Airways,Kolkata,Banglore,1335,1.0,In-flight meal not included,10844,18,5,2019
2255,SpiceJet,Banglore,Delhi,175,0.0,No check-in baggage included,3573,24,4,2019
2256,Jet Airways,Kolkata,Banglore,1450,1.0,In-flight meal not included,8066,5,6,2019
2257,Jet Airways,Delhi,Cochin,1320,1.0,In-flight meal not included,14053,3,9,2019
2258,Jet Airways,Banglore,New Delhi,435,1.0,No info,12284,18,3,2019
2259,SpiceJet,Delhi,Cochin,315,1.0,No info,5351,4,9,2019
2260,Jet Airways,Kolkata,Banglore,1430,1.0,In-flight meal not included,7064,4,1,2019
2261,IndiGo,Delhi,Cochin,320,1.0,No info,10394,3,3,2019
2262,Jet Airways,Kolkata,Banglore,865,1.0,In-flight meal not included,9663,15,5,2019
2263,Multiple carriers,Delhi,Cochin,480,1.0,No info,13727,18,5,2019
2264,Jet Airways,Delhi,Cochin,1040,1.0,In-flight meal not included,10262,6,12,2019
2265,IndiGo,Banglore,Delhi,175,0.0,No info,4823,4,9,2019
2266,Air Asia,Banglore,New Delhi,170,0.0,No info,7074,3,3,2019
2267,Multiple carriers,Delhi,Cochin,835,1.0,No info,17267,3,6,2019
2268,Multiple carriers,Delhi,Cochin,630,1.0,No info,14067,21,5,2019
2269,IndiGo,Banglore,Delhi,170,0.0,No info,4823,5,1,2019
2270,IndiGo,Banglore,Delhi,170,0.0,No info,4823,27,4,2019
2271,Air Asia,Banglore,Delhi,170,0.0,No info,4483,5,12,2019
2272,Air India,Kolkata,Banglore,805,2.0,No info,14960,6,6,2019
2273,Air India,Banglore,Delhi,165,0.0,No info,7171,6,1,2019
2274,Air India,Kolkata,Banglore,745,1.0,No info,12173,24,3,2019
2275,Air India,Banglore,New Delhi,495,1.0,No info,11392,3,3,2019
2276,Air India,Kolkata,Banglore,1665,2.0,No info,16057,15,5,2019
2277,Jet Airways,Kolkata,Banglore,1075,1.0,No info,14151,6,9,2019
2278,Jet Airways,Banglore,Delhi,175,0.0,In-flight meal not included,4030,21,5,2019
2279,IndiGo,Kolkata,Banglore,220,1.0,No info,4226,5,6,2019
2280,Air India,Delhi,Cochin,915,1.0,No info,11050,3,9,2019
2281,Air India,Banglore,Delhi,165,0.0,No info,6961,21,5,2019
2282,Jet Airways,Kolkata,Banglore,725,1.0,No info,14231,24,3,2019
2283,Jet Airways,Delhi,Cochin,1320,2.0,In-flight meal not included,10919,27,6,2019
2284,Air India,Delhi,Cochin,735,2.0,No info,10913,27,3,2019
2285,IndiGo,Chennai,Kolkata,140,0.0,No info,5277,27,6,2019
2286,Multiple carriers,Delhi,Cochin,640,1.0,No info,7485,21,5,2019
2287,Jet Airways,Kolkata,Banglore,1405,1.0,No info,14231,24,3,2019
2288,GoAir,Delhi,Cochin,370,1.0,No info,4201,4,6,2019
2289,Air India,Delhi,Cochin,180,0.0,No info,7931,3,6,2019
2290,Multiple carriers,Delhi,Cochin,455,1.0,No info,6513,15,5,2019
2291,Jet Airways,Delhi,Cochin,1680,1.0,No info,14714,6,6,2019
2292,IndiGo,Kolkata,Banglore,325,1.0,No info,6218,5,9,2019
2293,Air India,Delhi,Cochin,435,2.0,No info,8603,27,6,2019
2294,IndiGo,Delhi,Cochin,750,1.0,No info,7318,21,5,2019
2295,Multiple carriers,Delhi,Cochin,540,1.0,No info,13504,15,6,2019
2296,Multiple carriers,Delhi,Cochin,925,1.0,No info,9646,15,5,2019
2297,IndiGo,Kolkata,Banglore,155,0.0,No info,5224,27,5,2019
2298,Jet Airways,Kolkata,Banglore,505,1.0,No info,12692,6,12,2019
2299,Jet Airways,Kolkata,Banglore,435,1.0,In-flight meal not included,9689,6,6,2019
2300,Air India,Kolkata,Banglore,920,2.0,No info,13033,5,9,2019
2301,Jet Airways,Kolkata,Banglore,590,1.0,No info,13626,6,12,2019
2302,IndiGo,Mumbai,Hyderabad,90,0.0,No info,2754,18,5,2019
2303,Jet Airways,Kolkata,Banglore,1005,1.0,No info,12121,5,9,2019
2304,IndiGo,Banglore,Delhi,165,0.0,No info,3419,24,4,2019
2305,Air India,Kolkata,Banglore,920,2.0,No info,13033,21,5,2019
2306,IndiGo,Kolkata,Banglore,155,0.0,No info,4174,4,6,2019
2307,Air Asia,Delhi,Cochin,870,1.0,No info,6152,27,6,2019
2308,Air India,Delhi,Cochin,170,0.0,No info,5201,27,6,2019
2309,Jet Airways,Banglore,New Delhi,550,1.0,In-flight meal not included,9134,15,3,2019
2310,Air India,Kolkata,Banglore,1100,2.0,No info,13243,18,5,2019
2311,Jet Airways,Delhi,Cochin,1375,2.0,No info,15129,27,5,2019
2312,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,2759,5,9,2019
2313,IndiGo,Banglore,Delhi,165,0.0,No info,4423,15,5,2019
2314,Vistara,Kolkata,Banglore,930,1.0,No info,9187,18,5,2019
2315,Multiple carriers,Delhi,Cochin,920,1.0,No info,7740,18,5,2019
2316,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,6144,24,5,2019
2317,Multiple carriers,Delhi,Cochin,460,1.0,No info,10877,6,9,2019
2318,IndiGo,Delhi,Cochin,635,1.0,No info,6442,15,6,2019
2319,IndiGo,Delhi,Cochin,645,1.0,No info,7048,27,3,2019
2320,Multiple carriers,Delhi,Cochin,615,1.0,In-flight meal not included,5797,27,6,2019
2321,Air India,Banglore,New Delhi,1030,2.0,No info,10573,3,3,2019
2322,IndiGo,Delhi,Cochin,750,1.0,No info,7503,15,5,2019
2323,IndiGo,Delhi,Cochin,480,1.0,No info,6104,6,12,2019
2324,Jet Airways,Kolkata,Banglore,665,1.0,In-flight meal not included,9663,5,9,2019
2325,Jet Airways,Banglore,Delhi,175,0.0,In-flight meal not included,5769,6,3,2019
2326,Air India,Mumbai,Hyderabad,90,0.0,No info,3100,15,6,2019
2327,Jet Airways,Delhi,Cochin,655,1.0,In-flight meal not included,12373,18,5,2019
2328,SpiceJet,Kolkata,Banglore,150,0.0,No check-in baggage included,3815,15,3,2019
2329,Jet Airways,Delhi,Cochin,1460,2.0,No info,14300,15,6,2019
2330,IndiGo,Banglore,Delhi,175,0.0,No info,4823,6,1,2019
2331,IndiGo,Mumbai,Hyderabad,90,0.0,No info,2754,18,6,2019
2332,Multiple carriers,Delhi,Cochin,795,1.0,No info,9736,6,3,2019
2333,Jet Airways,Banglore,New Delhi,280,1.0,In-flight meal not included,7280,21,3,2019
2334,Multiple carriers,Delhi,Cochin,780,1.0,No info,7408,6,9,2019
2335,Jet Airways,Kolkata,Banglore,960,1.0,No info,13044,6,12,2019
2336,Air India,Kolkata,Banglore,1045,2.0,No info,12723,24,5,2019
2337,Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,8586,5,6,2019
2338,IndiGo,Delhi,Cochin,570,1.0,No info,6316,6,12,2019
2339,Jet Airways,Delhi,Cochin,600,1.0,No info,15554,5,9,2019
2340,SpiceJet,Mumbai,Hyderabad,80,0.0,No check-in baggage included,2385,15,3,2019
2341,Multiple carriers,Delhi,Cochin,480,1.0,No info,13587,6,9,2019
2342,IndiGo,Delhi,Cochin,355,1.0,No info,13790,3,3,2019
2343,Air India,Delhi,Cochin,1420,2.0,No info,10975,15,5,2019
2344,Jet Airways,Kolkata,Banglore,1495,1.0,No info,14388,21,5,2019
2345,Multiple carriers,Delhi,Cochin,450,1.0,No info,7198,6,6,2019
2346,Jet Airways,Delhi,Cochin,1615,2.0,In-flight meal not included,13029,5,9,2019
2347,Multiple carriers,Delhi,Cochin,730,1.0,In-flight meal not included,12717,27,5,2019
2348,IndiGo,Delhi,Cochin,400,1.0,No info,14871,3,3,2019
2349,Jet Airways,Kolkata,Banglore,860,2.0,In-flight meal not included,10118,6,6,2019
2350,Jet Airways,Delhi,Cochin,335,1.0,In-flight meal not included,10262,6,6,2019
2351,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,2071,24,3,2019
2352,Air India,Banglore,Delhi,170,0.0,No info,5228,27,4,2019
2353,Jet Airways,Banglore,New Delhi,1110,1.0,In-flight meal not included,7832,21,3,2019
2354,Multiple carriers,Delhi,Cochin,560,1.0,No info,7005,6,6,2019
2355,Jet Airways,Delhi,Cochin,1090,2.0,No info,14237,6,9,2019
2356,SpiceJet,Banglore,Delhi,175,0.0,No info,3971,4,6,2019
2357,IndiGo,Banglore,Delhi,170,0.0,No info,3943,21,6,2019
2358,IndiGo,Delhi,Cochin,530,1.0,No info,8574,27,3,2019
2359,Air India,Delhi,Cochin,800,2.0,No info,12646,15,6,2019
2360,Jet Airways,Delhi,Cochin,1790,2.0,No info,13082,21,3,2019
2361,Jet Airways,Kolkata,Banglore,1430,1.0,No info,13941,21,5,2019
2362,GoAir,Delhi,Cochin,355,1.0,No info,5135,4,6,2019
2363,Air India,Kolkata,Banglore,625,1.0,No info,11096,21,5,2019
2364,Jet Airways,Banglore,New Delhi,640,1.0,No info,13555,18,3,2019
2365,Vistara,Banglore,Delhi,170,0.0,No info,5403,4,12,2019
2366,Jet Airways,Delhi,Cochin,440,2.0,In-flight meal not included,15812,24,6,2019
2367,Jet Airways,Kolkata,Banglore,735,1.0,No info,14781,21,5,2019
2368,Air India,Delhi,Cochin,570,1.0,No info,8907,6,6,2019
2369,Air India,Kolkata,Banglore,155,0.0,No info,4145,5,3,2019
2370,Jet Airways,Kolkata,Banglore,800,1.0,No info,14151,6,9,2019
2371,Multiple carriers,Delhi,Cochin,570,1.0,No info,7845,27,3,2019
2372,Multiple carriers,Delhi,Cochin,600,1.0,No info,8099,15,5,2019
2373,Multiple carriers,Delhi,Cochin,630,1.0,No info,13377,27,5,2019
2374,Air India,Banglore,New Delhi,1710,2.0,No info,12734,3,12,2019
2375,Jet Airways,Delhi,Cochin,335,1.0,In-flight meal not included,10262,6,3,2019
2376,Jet Airways,Banglore,Delhi,185,0.0,No info,7229,15,5,2019
2377,Vistara,Mumbai,Hyderabad,1480,1.0,No info,12395,3,6,2019
2378,Jet Airways,Kolkata,Banglore,810,1.0,In-flight meal not included,11134,24,3,2019
2379,Jet Airways,Delhi,Cochin,350,1.0,In-flight meal not included,6540,21,3,2019
2380,Multiple carriers,Delhi,Cochin,755,1.0,No info,7354,6,6,2019
2381,Air India,Delhi,Cochin,1180,2.0,No info,9548,24,6,2019
2382,Vistara,Kolkata,Banglore,1655,1.0,No info,9187,5,1,2019
2383,IndiGo,Delhi,Cochin,275,1.0,No info,5054,5,9,2019
2384,Air India,Kolkata,Banglore,625,1.0,No info,10413,6,9,2019
2385,IndiGo,Kolkata,Banglore,160,0.0,No info,4804,27,5,2019
2386,IndiGo,Mumbai,Hyderabad,90,0.0,No info,4049,15,6,2019
2387,Multiple carriers,Delhi,Cochin,390,1.0,No info,6795,27,6,2019
2388,Air India,Kolkata,Banglore,155,0.0,No info,4435,21,3,2019
2389,Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,6224,6,12,2019
2390,IndiGo,Kolkata,Banglore,155,0.0,No info,4804,6,12,2019
2391,IndiGo,Delhi,Cochin,665,1.0,No info,6171,15,4,2019
2392,IndiGo,Delhi,Cochin,575,1.0,No info,6093,6,3,2019
2393,IndiGo,Kolkata,Banglore,155,0.0,No info,4174,4,12,2019
2394,IndiGo,Mumbai,Hyderabad,90,0.0,No info,3342,5,6,2019
2395,Multiple carriers,Delhi,Cochin,660,1.0,No info,13587,6,3,2019
2396,Jet Airways,Delhi,Cochin,395,1.0,No info,16079,21,5,2019
2397,IndiGo,Delhi,Cochin,195,0.0,No info,6015,18,4,2019
2398,Jet Airways,Kolkata,Banglore,1570,1.0,No info,13067,24,5,2019
2399,Multiple carriers,Delhi,Cochin,460,1.0,No info,9103,15,5,2019
2400,Jet Airways,Kolkata,Banglore,1630,1.0,No info,14151,24,5,2019
2401,Jet Airways,Delhi,Cochin,750,2.0,No info,11538,27,3,2019
2402,IndiGo,Delhi,Cochin,765,2.0,No info,8146,3,9,2019
2403,Air India,Kolkata,Banglore,580,1.0,No info,6117,5,6,2019
2404,Jet Airways,Delhi,Cochin,1570,1.0,No info,17024,3,3,2019
2405,Jet Airways,Banglore,New Delhi,1055,1.0,1 Long layover,22270,3,1,2019
2406,Jet Airways,Kolkata,Banglore,1480,1.0,No info,12692,6,9,2019
2407,Vistara,Kolkata,Banglore,790,1.0,No info,8610,6,12,2019
2408,Multiple carriers,Delhi,Cochin,920,1.0,No info,6723,24,6,2019
2409,Vistara,Banglore,Delhi,155,0.0,No info,4878,5,12,2019
2410,Jet Airways,Banglore,New Delhi,665,1.0,No info,16736,3,6,2019
2411,Jet Airways,Kolkata,Banglore,1160,1.0,In-flight meal not included,11134,24,3,2019
2412,IndiGo,Banglore,Delhi,170,0.0,No info,3943,5,3,2019
2413,Multiple carriers,Delhi,Cochin,720,1.0,No info,13587,6,12,2019
2414,Jet Airways,Delhi,Cochin,1380,2.0,No info,16914,3,6,2019
2415,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,1965,18,5,2019
2416,Multiple carriers,Delhi,Cochin,480,1.0,No info,8073,5,9,2019
2417,IndiGo,Banglore,Delhi,170,0.0,No info,3943,6,3,2019
2418,IndiGo,Kolkata,Banglore,290,1.0,No info,5170,5,12,2019
2419,GoAir,Banglore,Delhi,170,0.0,No info,3398,15,5,2019
2420,Air Asia,Kolkata,Banglore,155,0.0,No info,4409,18,4,2019
2421,Jet Airways,Banglore,Delhi,180,0.0,No info,8541,21,6,2019
2422,IndiGo,Banglore,New Delhi,170,0.0,No info,4777,21,3,2019
2423,SpiceJet,Kolkata,Banglore,140,0.0,No info,3847,18,3,2019
2424,Jet Airways,Kolkata,Banglore,1025,1.0,In-flight meal not included,7064,4,1,2019
2425,Vistara,Banglore,Delhi,170,0.0,No info,4668,27,5,2019
2426,SpiceJet,Mumbai,Hyderabad,85,0.0,No check-in baggage included,1965,18,3,2019
2427,Jet Airways,Kolkata,Banglore,590,1.0,No info,14781,21,5,2019
2428,IndiGo,Mumbai,Hyderabad,90,0.0,No info,4049,15,6,2019
2429,Jet Airways,Kolkata,Banglore,800,1.0,No info,13584,18,5,2019
2430,Jet Airways,Delhi,Cochin,940,1.0,In-flight meal not included,12373,18,5,2019
2431,Jet Airways,Delhi,Cochin,1620,1.0,No info,16079,27,5,2019
2432,Jet Airways,Banglore,Delhi,180,0.0,No info,7229,24,5,2019
2433,Jet Airways,Banglore,New Delhi,1435,1.0,No info,17471,3,6,2019
2434,Jet Airways,Kolkata,Banglore,590,1.0,No info,14781,5,12,2019
